jam_id,type,level,severity,line_coordinates,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,publish_datetime_utc,update_datetime_utc,country,city,street
242779256,NONE,3,5,"LINESTRING(-7.60152 33.580156, -7.600853 33.579048, -7.600413 33.578237, -7.600262 33.577957, -7.600039 33.577546, -7.599661 33.576837, -7.5994 33.576347, -7.59869 33.574882, -7.598609 33.574714, -7.598378 33.574239, -7.598146 33.573711, -7.598027 33.573443, -7.59756 33.572444, -7.597338 33.571999, -7.597261 33.571853, -7.596863 33.571137)",,,14.71,1091,160,,,,,,2025-06-29T18:09:33.816Z,2025-06-29T19:22:45.180Z,MO,Casablanca - الدار البيضاء,R315 - Boulevard Mohammed VI
250139624,NONE,4,5,"LINESTRING(-7.63788 33.582874, -7.63627 33.581574)",,,1.54,208,431,,,,,,2025-06-29T19:22:47.435Z,2025-06-29T19:22:47.435Z,MO,Casablanca - الدار البيضاء,Rue Ibn Faris
249932004,NONE,3,5,"LINESTRING(-7.531583 33.614509, -7.531034 33.613342, -7.530943 33.613148, -7.530463 33.612073)",,,7.45,289,102,,,,,,2025-06-29T19:20:30.566Z,2025-06-29T19:22:43.689Z,MO,Casablanca - الدار البيضاء,Allée des Mimosas
247206584,NONE,2,5,"LINESTRING(-7.814351 33.526694, -7.812747 33.526743, -7.809897 33.526705, -7.809388 33.526747, -7.808719 33.526899, -7.805889 33.527579, -7.802971 33.528247, -7.80205 33.52846, -7.801281 33.52866, -7.80088 33.528815, -7.799317 33.529514)",Dar Bouazza - دار بوعزة,Dar Bouazza - دار بوعزة,20.06,1450,119,,,,,,2025-06-29T18:50:53.514Z,2025-06-29T19:22:45.255Z,MO,Dar Bouazza - دار بوعزة,P3012
248495048,NONE,2,5,"LINESTRING(-7.507583 33.583113, -7.509413 33.581957, -7.518317 33.57633)",,,17.31,1249,148,,,,,,2025-06-29T19:04:33.166Z,2025-06-29T19:22:43.361Z,MO,Casablanca - الدار البيضاء,Boulevard Mohamed Zefzaf
249518546,NONE,3,5,"LINESTRING(-7.636999 33.583685, -7.638438 33.584845, -7.639309 33.58558)",,,6.8,300,89,,,,,,2025-06-29T19:16:00.204Z,2025-06-29T19:22:44.227Z,MO,Casablanca - الدار البيضاء,Rue Ossama Ibnou Zaid
249722098,NONE,2,5,"LINESTRING(-7.477553 33.583243, -7.478685 33.58403, -7.479643 33.584674, -7.48054 33.585278, -7.482088 33.586321, -7.482981 33.586915, -7.483851 33.587487, -7.483847 33.587504, -7.483847 33.587521, -7.48385 33.587539, -7.483857 33.587555, -7.483859 33.587557)",,,22.54,759,32,,,,,,2025-06-29T19:18:15.422Z,2025-06-29T19:22:45.116Z,MO,Casablanca - الدار البيضاء,
1179902272,NONE,5,5,"LINESTRING(-7.725614 33.549205, -7.723756 33.547915, -7.72294 33.547303)",Casablanca - الدار البيضاء,Casablanca - الدار البيضاء,0.0,326,0,147694718,ROAD_CLOSED_EVENT,,2025-06-22T10:00:19.364Z,2025-05-26T21:08:00.000Z,2025-06-24T07:07:51.393Z,2025-06-29T19:22:46.995Z,MO,Casablanca - الدار البيضاء,Rocade Sud-Ouest
250093820,NONE,2,5,"LINESTRING(-7.560426 33.56156, -7.560351 33.561474, -7.560299 33.561421, -7.559287 33.562064, -7.557408 33.563253, -7.555878 33.564213, -7.555824 33.564332, -7.555691 33.564234, -7.55552 33.564183, -7.55538 33.56416, -7.555203 33.564158, -7.55496 33.564213, -7.554466 33.563673, -7.553239 33.562302, -7.552247 33.561174, -7.552049 33.560965, -7.55206 33.560946, -7.552066 33.560926, -7.552069 33.560906, -7.552067 33.560891, -7.552062 33.560871, -7.552053 33.560852, -7.55204 33.560835, -7.552024 33.56082, -7.552004 33.560807, -7.551983 33.560798, -7.551973 33.560795, -7.551949 33.56079, -7.551925 33.560789, -7.551901 33.560791, -7.551877 33.560797, -7.551852 33.560807, -7.551831 33.56082, -7.551812 33.560839, -7.5518 33.560859, -7.551792 33.560878, -7.551788 33.560898, -7.551788 33.560911, -7.551791 33.560931, -7.551798 33.56095, -7.55181 33.560968, -7.551825 33.560985, -7.551843 33.560998, -7.551863 33.561009, -7.551868 33.561011, -7.551891 33.561018, -7.551915 33.561022, -7.551939 33.561022, -7.551964 33.561019, -7.551976 33.561016, -7.551998 33.561007, -7.552018 33.560996, -7.552035 33.560981, -7.552049 33.560965)",,,21.6,1168,71,,,,,,2025-06-29T19:22:47.697Z,2025-06-29T19:22:47.697Z,MO,Casablanca - الدار البيضاء,
238773036,NONE,3,5,"LINESTRING(-7.516861 33.6282, -7.516972 33.628132, -7.517681 33.627682, -7.518872 33.626924, -7.520565 33.625854, -7.52106 33.625565, -7.522413 33.624915, -7.522521 33.624866, -7.523499 33.62441, -7.524093 33.624133, -7.525349 33.623548, -7.525651 33.623401, -7.526612 33.622932)",,,10.0,1079,297,,,,,,2025-06-29T17:37:21.996Z,2025-06-29T19:22:43.299Z,MO,Casablanca - الدار البيضاء,R322 - Route des Zenata
