name,latitude,longitude,address,phone,status,category,image_url
Kazyon Market,35.7711694,-5.8108295,,,,4.3(15),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npq06MFAEOc4m12wkQyFi9M8E3TghAs5OMeaScRVWYNnqCFqXLnrDdQDM7Z1lUWYESMuE2CMUzfZx5QNcEaEHtgdayRdEwjYfcBSck0izS5CymebyT6jBSz5T9GncMOvMq3qXi9=w80-h142-k-no
Kazyon market,35.7358653,-5.8534403,,,,5.0(2),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVQuF2JNh5XtN0DHIrMCbTpVHb9zUHTqwN1LsES9Bto0JnhJ9ROhdjmO8_hvmYDBmc8JxSVkkYgMC7wksPSjH4knTeGjbiH6gCZ8dAfYET5VmTv0otmHJxDpkkhxwFasfeK2ROJmeiBlc=w122-h92-k-no
Kazyon Market,35.7508999,-5.8023599,,,,3.8(5),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrznxTgOuLxgc-NxarIlRj8QQUGMgD5WlassnkoksF8J8V7OVKJOXrVpBbHk1why_KW9dgCd3FKZy1NtFSTwh2z_SEL69MBazp9sGvjq6hZIV1ukWsVEnVJDk2todliFI0kZY_C=w80-h142-k-no
Kazyon Market,35.7867485,-5.8205877,,,,4.5(6),https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1AafuKvvV8uQpnUXfsTnuSEOMRgdhMDW2vc2Xy2X44by0VG-LAa9ygzh73JmdXVPmH3ChFMRalfY4WrsSEIPr4AQPhwUgGCin0qsD2IaUgX5o5UD_7Eyl7HlfOLOObD-q_vg=w80-h106-k-no
Kazyon Market,35.7096152,-5.9109431,,,,4.2(6),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon market,35.760753,-5.8479342,,,,雜貨店,//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
(حي المجد almajd )kazyon market,35.7408838,-5.7985527,,,,2.9(13),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqrS8LkarJgH4FEUC3WMOsdJFzNCngGcLiBvE6MrvMTx_YI92vWwic9Ioa0uzhXaS93US7snRrAoZiZac393WlTVD5_gke8ZB64UpHROtjwYL_OQqsf6ItBSLREnPG4f-jwei7n=w80-h106-k-no
Kazyon Market,35.7096152,-5.9109431,,,,4.2(6),
Kazyon Market,29.9598208,30.9446755,,,,4.0(11),
Kazyon Market,35.7711694,-5.8108295,,,,4.3(15),
El Guiouan Market,35.6803718,-5.3249451,,+212 766-238845,,5.0(2),
Kazyon Market,33.5922591,-7.6062543,,,,5.0(2),
Kazyon Market,33.5539789,-7.7004522,,,,5.0(1),
Kazyon Market,33.2740269,-7.577777,7CFC+JVC، Avenue Mouna,,,4.6(5),
Kazyon Market,34.0803114,-6.7838514,,,,4.0(1),
Kazyon Market,33.6255602,-7.1305789,,,,超級市場,
Kazyon Market,33.573982,-7.5107563,,,,4.7(3),
Kazyon Market,33.5948611,-7.5025214,,,,5.0(1),
Kazyon Market,33.2677987,-7.5857893,,+212 672-955118,,4.8(4),
Kazyon Market,33.8996393,-5.534727,,,,4.0(4),
Kazyon Market,33.7816063,-7.1638333,,,,4.6(14),
Kazyon Market Khémisset,33.8241458,-6.0687795,,,,5.0(1),
Kazyon Market,35.7508999,-5.8023599,,,,3.8(5),
Kazyon Market,35.7711694,-5.8108295,,,,4.3(15),https://lh3.googleusercontent.com/gps-cs-s/AC9h4noT9CWMvyH7SWQz60bHAW2AIcz39P3dBorHrL2Zrk7_WBaDWieDB9C0wdP73ssLozrCrygfz7cBJ0Iopov70UNlQFoGLyojzu4yyIptLMItZNO63-GIiNWxlFIa1sbSmcZH8NU5=w122-h92-k-no
Kazyon Market,33.5922591,-7.6062543,,,,5.0(2),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrmklHd7MWZcWQleR_0lcHm9hYxZxI4hbB7WPSqJ7yMi-3Lxj1SK4y4XdZ_QtqkfIjtWsmvtaFKUqls4MIaexEGE8ulVyqDoGcStbAU9v-lNyMXcwMDqksYxMNfTn4JL-N6hjbmNM1tg2fL=w80-h106-k-no
Kazyon market,35.0050022,-5.9149942,,,,平價超級市場,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqaF79_a_M263ff6YCqkohlOuGhRHTYX1gLtrPvee39V_bzf7Ko1NljhSt4Y8pVzDeTe-X86-QqRGzEbVa7p_NVYtd1NAogQsk-5TiiAZ2G13p-fqCRun-5pc-bJRoecJBNXwL1TWQwKFNQ=w81-h92-k-no
Kazyon Market,33.5601978,-7.5478528,,,,3.9(18),https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQ87HjIQHkLhjLF_Q25wCBhesRbMQmu48fazGho_v5xBBXJnNTWgVzs1Mh6NDM3UMfLkHr2ZTqK-nX7ApDCFPkur23fxEKb19ozAV9-xr_jETwSeFdfSY-JGgrg6igp8PRIGGw=w80-h106-k-no
Kazyon Market,33.5539789,-7.7004522,,,,5.0(1),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,33.530231,-7.719738,,+212 633-430425,,4.6(7),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Sky Market,35.1691738,-6.1382486,Avenue Narcisse,,,4.2(24),https://lh3.googleusercontent.com/p/AF1QipNUMVlgY1Z_yC3SnbZX4wx-WqvOsAyjPysgjycG=w80-h106-k-no
Kazyon market,31.6089346,-7.9689395,,,,2.3(3),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market Khémisset,33.8241458,-6.0687795,,,,5.0(1),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,33.2677987,-7.5857893,,+212 672-955118,,4.8(4),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,33.5266185,-7.6612812,,,,4.4(29),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOrgbBFvvBO4ja_uIhVwAfJr1xOSJWvYqeqZwUL9Oosu4CvwfEvlpHfiqqJZvjPfdpw0fJ7xsDfxLYOt_icQwIpeQ57CgdoTg_8HKpwuTNwhdc9MFd6GzZgA5SmDW9NVutvLpc=w122-h92-k-no
Kazyon market Garden Beach,33.477597,-7.960285,,,,4.8(6),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppMpQXlWnTQod_rsnojpk5oNPfyn6Mc7RkFqTQJqng8pyd4pWwih87yFImsBSUfcg1kT0KiTlR5yra8JfMEFfjB_PlO8J9mRf3Ys0BP-bURT0Bzbr_2dgSratpkBorTEMb5KvT=w123-h92-k-no
Kazyon Market,33.5752979,-7.5170774,,,,4.2(5),https://lh3.googleusercontent.com/gps-cs-s/AC9h4norD--RT7OHWGgLuRHQvV75ua5cjCf3PD1HdJqFIXbJYVm5qrLjuNzlCRYWLn09AvSeeEHlJL5m8Ldf9kyTuO5yecKQ_j-Ysmwvc0Nio-CqOsbKEOLUbLcj-6WpCQ42M61iIL1kcA=w122-h92-k-no
Kazyon Market - (hard discount market),31.6001988,-8.0518664,,+212 606-353780,,5.0(3),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,33.8996393,-5.534727,,,,4.0(4),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsxFPa2IRYB7ED-nVaxDD-RqgSZlOjzohZWrjsTAZ4Oq_NsNvj2Y-Zkn1tM9zjYPdBUW6KcdO_7vyKL6gM59r3Ug9A8pqaIPXmhXVfuHg-dxayHlZg51copU1WenwJblLLoy6qGQ=w80-h106-k-no
Kazyon Market,33.7816063,-7.1638333,,,,4.6(14),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdFuDC3b34Cbx5qSwMcdCbZ4XOBf5fGWhvdLQxkuOO8Zo9BVDTzDsmObVuHeL4-HP6AxMTyVV7bcCQESpIacNSLqtLxd3kbaPuJuv5xLJZu2F120LIR9EumUDalRqrXeg8gl6UeA=w122-h92-k-no
Kazyon Market,33.9849351,-6.8065868,,,,4.4(17),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgCbPKW3fQaOh7S3tDg1stkKUv3DwJD13KwaqzHHEAanRGS_O8X5FTwtQxsM7shl3RVVncgZklWtQ7YGjojsh14hRW_jVnL5gp3sNK4-nIvEI_TV0nsUyszfT_cbj8IqDlfslOuw=w80-h106-k-no
Kazyon Market,33.9229611,-6.9348419,,,,4.0(26),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOGiZUqz7GaL3Ih6oK88PiRocrkbR26xrFPV72IIU5lhhbdZYdsKez0e-RD_KoWvlSHU-dC-bx_kHT0lcFLPXInh384mm4nzB_dsNyF-3sHeXqg3LX62w9jlBTfBQlGdzZPq0b8Q=w80-h142-k-no
Supermarcheé- مركب تجاري,34.3948482,-2.9071277,,,,5.0(5),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
مركب تجاري-super-market,34.3981055,-2.8955395,,+212 658-317181,,3.8(17),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqaedA7EXj_FVnQOTKbQVHItpVS2DumkK9rknnO3s444cgFSE0yRycosn5GoZKZGnu9UghVNkI5Cfty4WbFlH63t_GCs5jp4s1JfET4VI8fUQEmv3X4XR6WCCHji2hGHrnihRxv=w163-h92-k-no
Kazyon Market - Oulad Oujih Kénitra,34.2533574,-6.6236301,,,,5.0(2),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,34.0803114,-6.7838514,,,,4.0(1),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Kazyon Market,33.6255602,-7.1305789,,,,超級市場,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrliGgsV73ruVJVVrFnmBF5oTUAZl078tOZc6rN1cA50ruZTmEPyNEwlg-C8OuwsESG_jSD8YCiMDnIzamha_CdlPdvbF4ASt0cdpGQHeMcB1WBxvxdNjH_3Ek4BiMGY_LXafYr0mc1Hxg=w80-h112-k-no
Kazyon Market,33.5641644,-7.6690838,,,,4.3(4),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
