name,latitude,longitude,address,phone,status,category,image_url
Mehdya,34.2577614,-6.6738046,,,,蓋尼特拉,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2skSt8Jlo-1SaIRJ1YG-m0IrLn0mFxWXIwd19kxZMreRS8XetdIixrW2Iehv_Du8KpgYb8hszZu_yKpXrjpkCFb3FJZLcbdMsTlGo1e4aeXJ4HL2H4W7re0ypEL4IYJpSuLWJJA=w80-h92-p-k-no
BIM Stores,33.0111219,-7.6248021,,,,4.3(44),
BIM Stores,33.0042163,-7.619279,,,,3.8(146),
BIM Stores,32.9880724,-7.6014816,,,,4.1(55),
BIM Stores,32.9922649,-7.6166763,,+212 5234-07899,,3.8(75),
بيم,33.0035254,-7.6132302,,,,4.1(11),
BIM Stores,33.003652,-7.6325556,,+212 672-005252,,3.8(117),
BIM Stores,32.9971276,-7.6098833,Avenue du 3 Mars,,,3.7(120),
BIM Sultana,32.9980225,-7.6321382,,,,3.9(12),
BIM Stores,32.9949945,-7.6214493,,,,1.0(1),
BIM Stores,32.9998642,-7.6167735,,,,3.9(7),
Bim,33.0004558,-7.6243469,,,,商店,
BIM بيم,34.0001564,-6.849353,,,,3.8(149),
BIM,33.990992,-6.86947,,,,4.0(311),
BIM,33.9991961,-6.8643175,,,,3.8(252),
BIM بيم,33.9683278,-6.889075,,,,3.9(244),
BIM,33.9739245,-6.8959195,,+212 661-284810,,3.9(154),
Bim (Mabella),33.9945974,-6.8228206,,,,3.8(179),
BIM Stores,33.9972883,-6.8151271,,,,3.7(134),
Bim rue Casablanca بيم ( شارع دار البيضاء),34.0243786,-6.8282648,,,,4.1(32),
BIM,34.0246363,-6.8448668,,,,3.9(292),
Bim بيم,34.0061109,-6.8503705,,,,4.0(25),
BIM,34.0118635,-6.8558392,,,,4.0(196),
Bim بيم,34.0146474,-6.8284835,,,,3.9(136),
Bim Stores (Hassan),34.0184291,-6.8247358,,,,3.8(95),
BIM Stores,33.9936721,-6.8506641,,,,4.0(97),
BIM,34.0176775,-6.8334683,,,,3.6(7),
BIM,34.0216036,-6.8261629,,,,4.0(115),
BIM,34.0125215,-6.8518974,,,,3.8(40),
BIM Amir,34.0195478,-6.8445687,,,,3.8(51),
BIM Résidence Al Boustane,33.9674536,-6.8979144,,,,4.2(5),
Bim بيم,34.0121399,-6.84671,,+212 649-649405,,3.9(38),
BIM,33.9405315,-6.9007453,,+212 5226-79292,,3.9(398),
BIM بيم,34.0469544,-6.8034644,"Residence Mabrouka ,Avenue Mohamed 5,Tabrequet",,,3.9(12),
BIM بيم,34.0414362,-6.8061588,,,,4.1(75),
BIM بيم,34.0003891,-6.7401013,,,,3.8(96),
BIM,33.9405899,-6.8884714,,+212 5376-00102,,3.9(171),
Centre Commercial BIM,33.9674939,-6.8980304,,,,3.3(3),
BIM Stores,34.0250272,-6.7644142,,,,3.9(240),
BIM,34.0231603,-6.8496916,,,,便利店,
BIM Stores,34.0168583,-6.7707428,,+212 619-592759,,4.0(44),
Bim بيم,34.0489126,-6.7999923,"26X2+H26, Avenue Med V Tabriquet",,,4.7(6),
Bim Market,34.0472386,-6.7793595,,,,3.8(441),
BIM بيم,34.0421477,-6.8209888,,,,3.9(99),
BIM,34.0370551,-6.811661,,,,4.1(33),
BIM Stores,34.0487111,-6.8150088,,,,3.8(242),
BIM,34.0338107,-6.8054982,,,,3.4(21),
BIM,34.0213757,-6.7483098,,,,3.7(3),
BIM بيم,34.0488486,-6.8053477,"Lotissemnt al Horia IMB 47 Tabriquet, Avenue Rizk",,,3.8(82),
Bim بيم,33.9939517,-6.7449487,,,,4.6(9),
بيم,34.0557172,-6.792587,,,,3.9(250),
Bim بيم,34.057202,-6.777123,,+212 661-118190,,4.0(299),
BIM بيم,34.0150184,-6.7365418,,,,3.7(18),
BIM Stores,33.9957547,-6.7299785,,+212 700-223717,,3.9(268),
BIM,34.0464773,-6.8197744,,+212 5226-79292,,3.9(214),
BIM,33.9333233,-6.9429522,,,,4.2(67),
Bim ( Hssaine ),34.0245216,-6.7568065,,,,3.1(8),
BIM,34.0627992,-6.7657913,,,,4.1(101),
BIM Stores,33.9129038,-6.9137558,,,,4.1(174),
BIM بيم,34.0633142,-6.7953291,,+212 621-008825,,3.9(168),
Bim بيم,33.9292393,-6.8916879,,+212 606-798955,,3.8(133),
Bim hay chmaou,34.0618905,-6.8053363,,,,3.8(128),
Bim,34.0643136,-6.7980318,,,,5.0(1),
BIM بيم,33.9221242,-6.9361813,,,,3.9(95),
BIM,33.9236674,-6.906303,,+212 5226-79292,,3.9(237),
BIM Stores,33.63622,-7.4506536,,,,3.8(149),
BIM,33.6184578,-7.4493004,,,,5.0(2),
BIM Stores,33.6222417,-7.443417,,,,超級市場,
BIM Stores,33.8889503,-6.9665595,,,,5.0(1),
BIM Stores,33.8940398,-6.9568003,,,,5.0(4),
BIM بيم,33.8985174,-6.928928,,,,4.0(23),
BIM,33.8850981,-6.9703197,,,,2.6(5),
BIM,33.9145541,-6.9263978,"1er étage, Block A5, Avenue Hassan II Hassan 1er",,,5.0(1),
BIM بيم,33.9042292,-6.9195712,,,,4.0(104),
BIM,33.9202846,-6.917077,,,,4.0(506),
BIM,33.9170263,-6.9234179,,+212 638-697253,,超級市場,
Bim,33.8678779,-6.9236089,,,,3.2(13),
Bim,33.9212853,-6.928893,,,,便利店,
BIM Stores,33.8362085,-6.9242471,,,,3.9(279),
BIM Stores,33.8445582,-7.0465158,,+212 679-553529,,3.8(235),
Bim,33.9098228,-6.9108516,,,,4.5(4),
Bim al amal بيم الأمل,33.8292246,-6.9111167,,+212 684-809686,,4.2(75),
Bim بيم,33.920207,-6.896254,,,,3.5(12),
BIM Stores,33.788763,-7.1599288,,,,4.0(445),
BIM Stores,33.7818125,-7.1638125,,+212 669-802266,,3.8(145),
Bim بيم,33.7987517,-6.8042601,,+212 681-459962,,4.0(66),
BIM,33.8559371,-7.0272044,,,,4.7(3),
Ait Matn Superette,33.9404187,-6.9005044,Bd Sahl Rhone,+212 661-472641,,4.1(257),
Bim,33.8111239,-7.1456585,,,,4.1(12),
Bim بيم,33.7755547,-7.1606297,,,,3.9(48),
Bim flowers,33.8072556,-7.1538267,,,,4.2(5),
Super marché bim,31.8008346,-7.1506879,,+212 653-105152,,4.7(6),
Bim بيم,33.7692207,-7.1563383,,,,3.9(74),
Bim beaurivage,33.7723917,-7.1595049,,+212 751-149905,,2.0(6),
BIM,33.7610593,-7.1544107,,,,4.3(3),
Extreme Pc,33.7819518,-7.1640814,,+212 666-536328,,4.3(44),
BIM Stores,33.5567072,-7.4763303,,,,3.4(7),
Connexion Art,33.9212571,-6.8998724,,+212 661-084939,,4.0(2),
BIM Stores,33.5906063,-7.5241857,,,,3.8(4),
BIM Stores,33.596007,-7.5152291,,+212 631-324518,,4.4(11),
BIM Stores,33.687281,-7.3384284,MMP6+WJ8، Avenue Mohammed V,,,3.9(56),
BIM Stores,33.2793609,-7.2321522,,,,4.1(42),
BIM Store,33.6264515,-7.4816713,,,,5.0(2),
BIM Stores,33.6269259,-7.1318181,,,,4.1(123),
BIM Stores,33.6245327,-7.1375409,,,,3.8(86),
Bim stores,33.5476016,-7.4890012,,+212 712-335054,,3.5(37),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrSZzbjEjEUNMzDSig0MoNHdVPqYNlBwX8e6byBnUYdWis5nX9iJSCqCpAzlnODDYsrl6Zew8a3mTRQVlyCObAPZa0aRE_TCCX1kdUDyiTPsiGHXm7EuQH_i6MO-3ZSSoaYtlDskQ=w80-h142-k-no
BIM Stores,33.5567072,-7.4763303,,,,3.4(7),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Bim Zin Essalam,33.5525306,-7.4752733,,+212 677-978945,,商店,//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
Bim el Amal,33.5493483,-7.4840513,,,,商店,//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
BIM Stores,34.7975869,-5.5701299,,+212 720-829802,,4.8(4),
Bim,34.7889625,-5.5793281,,,,超級市場,
BIM Informatique : Wifi & Installation Caméra de Surveillance,34.7991693,-5.5725669,,+212 661-642438,,3.5(6),
BIM (Super market),33.8917823,-5.5060955,,+212 5355-16421,,3.9(210),
BIM EL HAMD OUISLANE,33.8848373,-5.4983763,,+212 688-888727,,3.7(137),
BIM,33.8875876,-5.5700194,,+212 680-431148,,3.9(80),
BIM,33.9045509,-5.5319253,,+212 680-431148,,4.0(84),
BIM Place d’armes,33.8937506,-5.5365146,,,,3.9(115),
BIM SIDI SAID,33.8913778,-5.5803694,,+212 5355-21819,,3.9(155),
BIM,33.8761781,-5.5845979,,,,4.0(3),
Bim,33.9007443,-5.5765092,,,,3.9(137),
BIM Al mansour,33.8649869,-5.586024,,+212 680-431148,,4.0(171),
BIM,33.8951692,-5.543913,,+212 5355-21819,,3.9(257),
Bim - بيم,33.8956489,-5.5692411,,,,3.7(7),
Superette BIM,33.8794863,-5.5785735,,,,3.9(13),
BIM,33.8807598,-5.598745,,,,4.3(23),
BIM,33.8990122,-5.528051,,,,超級市場,
Bim monaco by ilyasse,33.8888414,-5.5104533,,,,5.0(2),
BIM,33.9021572,-5.4693544,,,,5.0(4),
BIM MARJANE 2,33.8589036,-5.5761684,,+212 680-431148,,3.8(198),
BIM Anassi,33.854085,-5.5675252,,,,5.0(1),
Bim diamand,33.868498,-5.565664,,,,5.0(4),
Bim med 6,33.8875683,-5.5700348,,+212 669-766892,,4.0(4),
Bim Qortoba,33.8575553,-5.547217,,,,5.0(1),
بيم الشاوية Bim Chaouia,33.8708155,-5.559821,,,,5.0(1),
BIM بيم,34.087307,-6.7764546,,+212 5226-79292,,4.1(100),
BIM بيم,34.0787605,-6.7871487,,,,4.0(73),
BIM بيم,34.072636,-6.795156,,+212 5226-79292,,3.9(182),
BIM,34.0706021,-6.7716169,,+212 5226-79292,,3.9(37),
BIM JBALA,34.064413,-6.7679989,,,,5.0(4),
Bim,34.0805709,-6.7836374,,,,4.0(1),
BIM Stores,35.5718266,-5.3859927,,,,3.9(80),
BIM EL KHARAZ TÉTOUAN,35.5791924,-5.3590684,,,,4.2(19),
BIM Stores,35.6259282,-5.2918703,,,,3.8(137),
بيم,35.5850159,-5.3467312,,,,3.7(62),
BIM بيم,34.2609597,-6.5932977,,,,3.9(250),
Bim,34.2625379,-6.5795981,,,,3.9(59),
Bim,34.2571001,-6.5925905,,,,3.4(32),
BIM بيم,34.2536707,-6.5804699,,,,3.5(82),
BIM Stores,34.2402837,-6.61565,,,,4.0(77),
BIM Convenience Store,34.2617981,-6.5990528,,+212 5226-79292,,4.0(1),
BiM stores,34.2656358,-6.6439923,,,,4.0(47),
BIM بيم,34.2459746,-6.6553656,,,,3.7(60),
BiM Stores,34.2560465,-6.5864122,,,,3.0(2),
بيم,34.2534254,-6.6025499,,,,3.8(144),
BIM Stores,34.2532451,-6.6234406,,+212 629-920507,,4.0(79),
BIM بيم,34.2701869,-6.5583355,,+212 5226-79292,,4.3(6),
Bim بيم,34.2614335,-6.5882683,"Magasin 02 Résidence nour, Avenue Imam Ali",,,3.9(11),
"BIM Stores Mohamed El Qori, Kénitra.",34.2533807,-6.5916268,,,,3.9(79),
BIM Stores,34.2576997,-6.6147931,,,,3.8(202),
BIM Stores,34.2709886,-6.6099367,,,,3.9(63),
BIM Stores,34.2556314,-6.5263629,,+212 682-825058,,4.4(5),
BIM Stores,34.2574508,-6.5581195,,+212 707-721920,,3.0(3),
BIM,34.2597392,-6.5779869,,,,3.0(2),
BIM Ankara,34.264463,-6.5879743,,,,5.0(2),
بيم,34.2488194,-6.5420549,,+212 694-186780,,3.9(169),
BIM Stores,34.2552578,-6.5459549,,,,3.6(8),
BIM Stores,34.2673106,-6.6264025,,+212 629-920507,,4.5(13),
BIM,34.2694754,-6.59625,"7C93+QGR, Avenue Daraa",,,超級市場,
BiM بيم,34.2662908,-6.6024121,,,,3.9(360),
BIM Stores,34.2503636,-6.6108901,,,,3.3(6),
Bim طريق عين السبع,34.2380749,-6.5458563,,,,便利店,
Droguerie Mehdia عقاقير مهدية,34.2503715,-6.6410673,,+212 676-346512,,4.6(11),
BIM Stores,34.2497709,-6.6488562,,,,便利店,
Kenitra,34.2754527,-6.6072325,,,,商店,
BIM Stores,34.2625457,-6.5675577,,,,3.6(136),
BIM Stores,32.935902,-5.6727762,,+212 5226-79292,,3.9(167),
BIM Stores,32.938221,-5.6549424,,+212 5226-79292,,4.1(91),
BIM,34.1264816,-6.7368332,,+212 633-591839,,4.4(16),
بيم,34.3073785,-6.3002489,,,,4.2(14),
Bim stores,34.2283932,-5.7275144,,,,便利店,
BIM Stores,34.2648489,-6.6081845,,,,5.0(4),
BIM,34.0106011,-6.5269602,,,,3.9(72),
BIM بيم,34.0087846,-6.5362829,,,,4.1(25),
BIM Sidi Slimane,34.2597998,-5.9243077,,,,4.6(9),
BIM Sidi Yahia El Gharb,34.3070602,-6.2993945,,,,雜貨店,
BIM Stores,33.8164283,-6.0699006,,,,4.0(32),
BIM Stores,33.8933294,-6.31581,,,,4.0(157),
BIM بيم chiga,33.917667,-6.8901545,,,,3.7(31),
Bim hay riad,34.0048549,-6.5321234,,,,超級市場,
BIM Stores,34.5778584,-5.9487007,,,,3.7(3),
BIM store,34.0619392,-6.7827794,"11ET 12, IMM F MARWA MAGASINS, AVENUE MOHAMMED 5 CIH BANK AVENUE YOUSSEF IBN TACHFINE STATION GRAND TAXI SUPER, AVENUE MOHAMED 5",,,便利店,
BIM RIAD ZITOUNE - متجر بيم رياض الزيتون,33.8618711,-5.5678978,,+212 664-674652,,3.9(18),
BIM,33.8309614,-6.0624807,,+212 5226-79292,,4.0(50),
BIM بيم,33.8260465,-6.0782118,,,,3.8(23),
BIM ZITOUNE --( M3 متجر بيم الزيتون( المعاركة,33.8667319,-5.5461417,,+212 5352-56020,,3.8(171),
BIM Store,33.5781318,-7.5882965,,,,4.2(66),
BIM Stores,32.8638881,-6.5713188,,,,4.0(179),
BIM Morocco S.A,33.4246976,-7.6392042,,+212 5229-22000,,4.2(17),
BIM Stores,32.8516088,-6.5811274,,+212 679-630801,,4.0(53),
BIM Stores,33.5236359,-7.8176968,,,,3.8(206),
BIM بيم,32.953262,-8.2203144,,,,3.9(101),
متجر بيم,33.4955393,-7.7276054,,+212 687-257363,,4.0(160),
BIM Stores,33.0639566,-7.2435873,,,,3.9(86),
BIM Stores,33.5761507,-7.5935702,,+212 5228-65523,,4.0(107),
