name,latitude,longitude,address,phone,status,category,image_url
Marjane Market,35.7644058,-5.7978051,,+212 80-2022050,,4.2(105),
Marjane market - Tanger City Center,35.7732706,-5.7858025,,,,"3.9(1,014)",
Marjane Val Fleuri,35.7660694,-5.8346622,,+212 80-2022050,,4.0(384),
Marjan Market,35.7688782,-5.8139099,,,,3.8(154),
Marjane Market - Iberia,35.7818337,-5.8237607,,,,4.0(174),
Marjane Tanger II,35.7266875,-5.7568125,,+212 80-2022050,,"3.6(1,507)",
Marjane Market,35.7793077,-5.8078874,,+212 5380-04100,,"3.7(1,365)",
Marjane,35.7462641,-5.8444332,,+212 5388-01000,,"3.8(5,001)",
Marjane Tanger,35.7462641,-5.8444332,,+212 80-2022050,,4.0(42),
Marjane Market,35.7754707,-5.8056793,,+212 5399-40518,,3.7(313),
Marjane Market Moujahidine,35.7644283,-5.844937,,,,4.2(6),
Centre commercial Marjane,35.6031092,-5.3343985,,+212 80-2022050,,"3.9(3,382)",
M'diq Centre Supermarket,35.6868079,-5.3235472,,+212 688-883399,,4.0(4),
Marjane Market Tétouan,35.5803199,-5.3536386,,,,3.8(336),
Marjane Market,35.6132442,-5.2841842,,,,4.1(70),
Marjane Market,35.5655213,-5.3933538,,,,5.0(5),
Marjane Oujda,34.7366365,-1.9255441,,+212 80-2022050,,"3.9(2,461)",
Marjane Market,34.6547088,-1.9074162,,,,3.8(109),
Marjane Market,34.6786809,-1.9059442,,,,3.7(277),
Marjan oujda,34.7112815,-1.890331,,,,4.1(21),
مرجان ماركت فاس السلام,34.029785,-5.010601,,+212 80-2022050,,3.9(186),
Marjane Market La Fontaine,34.0357835,-5.0014585,,+212 80-2022050,,4.2(80),
Marjane Market,34.0112292,-4.9805842,,+212 622-094556,,3.8(792),
Marjane Fès I (Agdal),34.0494375,-5.0359375,,+212 80-2022050,,"3.9(3,028)",
Marjane Fès Saiss,33.9856513,-4.9998049,,+212 80-2022050,,"3.9(3,007)",
Marjane Market,34.0386543,-5.0069507,,,,3.7(3),
Marjane Market,33.8994659,-5.5258696,,,,4.2(92),
Marjane Market,33.9020708,-5.5368156,,+212 80-2022050,,"3.8(1,357)",
Marjane Market,33.8603989,-5.5492661,,+212 600-168322,,"3.7(1,217)",
Marjane Meknes,33.8546897,-5.580928,,+212 80-2022050,,"3.9(2,613)",
Marjane,31.6673618,-8.013019,,+212 80-2022050,,"4.2(2,358)",
Marjane Agadir,30.3940774,-9.5809294,,+212 80-2022050,,"4.0(6,531)",
Marjane Market,34.2618674,-5.9152901,,+212 80-2022050,,3.9(742),
Marjane Hay Hassani,33.5661159,-7.6765231,,+212 80-2022050,,"3.8(3,783)",
Marjane Laayoune,27.1399662,-13.1807516,,+212 80-2022050,,4.4(320),
Marjane Market,32.2231771,-7.9389246,,,,4.0(85),
Marjane Market Zaitoune,33.8602633,-5.5494868,,,,4.0(7),
Marjane,34.0557492,-4.9868827,,+212 5389-02000,,3.7(3),
CASH PLUS FES RTE SEFROU MARJANE MARKET (Ex ACIMA) Rte SEFROU FES,34.0112307,-4.9809789,,+212 661-256038,,匯票服務,
متجر ثرية,33.8302916,-4.8305671,,+212 703-807443,,4.6(7),
Marjane Hay Riad,33.9538361,-6.8525344,,+212 80-2022050,,"4.1(9,464)",
Marjane Market rabat champion,33.9647052,-6.8518789,,+212 600-015495,,4.0(286),
Marjane Market,33.9692966,-6.8644203,,,,3.8(347),
Marjane Market,33.9886341,-6.8273106,,+212 80-2022050,,4.0(375),
Marjane Market,34.0177778,-6.8516667,,,,3.7(518),
Marjane Arribat Center,34.0034786,-6.8446392,,+212 80-2022050,,"4.2(1,965)",
Marjane Market,33.9495784,-6.8331715,,,,雜貨店,
Marjane Salé,34.0516319,-6.7960372,,+212 80-2022050,,"3.7(3,800)",
Marjane Bouregreg,34.0189698,-6.8165665,,+212 80-2022050,,"3.8(2,670)",
Marjane Market,34.0232981,-6.8455053,,,,4.2(5),
Marjane City Sebou,33.9991869,-6.845611,,,,4.5(29),
Marjane Market Hay Ryad,33.9533565,-6.8803769,,+212 600-015492,,3.8(707),
Marjane market,33.9883366,-6.8273664,,,,4.0(8),
Marjane City Pietri,34.0171481,-6.8312717,,,,3.0(52),
Marjane City Ocba,34.0026094,-6.850388,,,,4.1(27),
Marjane Market,33.8571868,-6.857349,,,,4.0(34),
Mabella Marjane Market,33.9946766,-6.8226331,,,,4.0(3),
MARJANE MARKET SALE ALJADIDA,34.0150783,-6.7386106,,,,3.3(11),
Marjane Market,33.5628905,-7.6634527,,,,3.6(63),
Marjane Market,33.52403,-7.6523199,,,,3.7(64),
Marjane Market,31.647722,-8.0129519,"la Grillardiere, Avenue Moulay Abdellah Résidence Ahlam 2 près de",,,3.9(117),
Marjane market palmier,33.58102,-7.6295606,,,,4.2(28),
Marjane market Av 2 Mars,33.5757724,-7.6169556,"et angle, Avenue 02 Mars, Rue Lalande",+212 80-2022050,,3.7(739),
مرجان ماركت مكوار,33.6160448,-7.5390248,,,,3.0(6),
Marjane Market,32.6775818,-4.7313728,,,,3.9(97),
Marjane Market Targa,31.6391667,-8.0597222,,,,"3.8(1,407)",
Marjane Market,33.5097559,-7.6765871,,,,3.8(39),
Marjane Market Hay Mohammadi,30.4370824,-9.5685305,,,,3.7(178),
Marjane Market El Menzah,33.5210939,-7.8190254,,+212 80-2022050,,3.9(223),
Marjane Market,33.5943283,-7.608507,,,,3.9(690),
Marjane market,31.6370029,-8.0179495,,,,3.6(24),
