geometry,class_id,class_name
"POLYGON ((-7.674745343652491 33.59334254626432, -7.674745343652491 33.59333955312971, -7.674741750391354 33.59333955312971, -7.674741750391354 33.59334254626432, -7.674745343652491 33.59334254626432))",3,eau
"POLYGON ((-7.673038544612663 33.59334254626432, -7.673038544612663 33.59333955312971, -7.673034951351527 33.59333955312971, -7.673034951351527 33.59334254626432, -7.673038544612663 33.59334254626432))",2,zone-verte
"POLYGON ((-7.674745343652491 33.59330064237038, -7.674745343652491 33.59329166296189, -7.674741750391354 33.59329166296189, -7.674741750391354 33.59330064237038, -7.674745343652491 33.59330064237038))",3,eau
"POLYGON ((-7.674774089741583 33.59329465609815, -7.674774089741583 33.59329166296189, -7.674766903219309 33.59329166296189, -7.674766903219309 33.59329465609815, -7.674774089741583 33.59329465609815))",3,eau
"POLYGON ((-7.674874701053405 33.593258738456086, -7.674874701053405 33.59325275218095, -7.674871107792268 33.59325275218095, -7.674871107792268 33.593258738456086, -7.674874701053405 33.593258738456086))",3,eau
"POLYGON ((-7.674730970607945 33.593258738456086, -7.674730970607945 33.59325574531857, -7.674734563869082 33.59325574531857, -7.674734563869082 33.59324377276748, -7.674727377346809 33.59324377276748, -7.674727377346809 33.593258738456086, -7.674730970607945 33.593258738456086))",3,eau
"POLYGON ((-7.6747633099581725 33.59325574531857, -7.6747633099581725 33.59325275218095, -7.67478846278613 33.59325275218095, -7.67478846278613 33.59324975904323, -7.674792056047266 33.59324975904323, -7.674792056047266 33.59324377276748, -7.674795649308401 33.59324377276748, -7.674795649308401 33.59323778649131, -7.674799242569538 33.59323778649131, -7.674799242569538 33.59323479335306, -7.674813615614084 33.59323479335306, -7.674813615614084 33.59323180021472, -7.67481720887522 33.59323180021472, -7.67481720887522 33.593219827660306, -7.674813615614084 33.593219827660306, -7.674813615614084 33.59322880707627, -7.674810022352949 33.59322880707627, -7.674810022352949 33.59323180021472, -7.674795649308401 33.59323180021472, -7.674795649308401 33.59322880707627, -7.67478846278613 33.59322880707627, -7.67478846278613 33.59322581393772, -7.674784869524993 33.59322581393772, -7.674784869524993 33.59322880707627, -7.67477768300272 33.59322880707627, -7.67477768300272 33.59323180021472, -7.674770496480447 33.59323180021472, -7.674770496480447 33.59323479335306, -7.6747633099581725 33.59323479335306, -7.6747633099581725 33.59323778649131, -7.674752530174764 33.59323778649131, -7.674752530174764 33.59324077962945, -7.674748936913628 33.59324077962945, -7.674748936913628 33.59324377276748, -7.674745343652491 33.59324377276748, -7.674745343652491 33.593246765905405, -7.674748936913628 33.593246765905405, -7.674748936913628 33.59325275218095, -7.674752530174764 33.59325275218095, -7.674752530174764 33.59325574531857, -7.6747633099581725 33.59325574531857))",3,eau
"POLYGON ((-7.6748028358306755 33.59320186882556, -7.6748028358306755 33.59319887568607, -7.674806429091812 33.59319887568607, -7.674806429091812 33.59319288940678, -7.6748028358306755 33.59319288940678, -7.6748028358306755 33.593189896266985, -7.674799242569538 33.593189896266985, -7.674799242569538 33.59319288940678, -7.674795649308401 33.59319288940678, -7.674795649308401 33.59320186882556, -7.6748028358306755 33.59320186882556))",3,eau
"POLYGON ((-7.673052917657209 33.59306418430163, -7.673052917657209 33.59306119115737, -7.673049324396074 33.59306119115737, -7.673049324396074 33.59306418430163, -7.673052917657209 33.59306418430163))",4,route
"POLYGON ((-7.673311632459036 33.59299833510381, -7.673311632459036 33.592995341957256, -7.673315225720174 33.592995341957256, -7.673315225720174 33.592992348810604, -7.67331881898131 33.592992348810604, -7.67331881898131 33.59298636251699, -7.673322412242445 33.59298636251699, -7.673322412242445 33.59298336937002, -7.673343971809264 33.59298336937002, -7.673343971809264 33.59298037622295, -7.673347565070401 33.59298037622295, -7.673347565070401 33.59297738307578, -7.673343971809264 33.59297738307578, -7.673343971809264 33.5929743899285, -7.673304445936763 33.5929743899285, -7.673304445936763 33.59298037622295, -7.673300852675628 33.59298037622295, -7.673300852675628 33.59298336937002, -7.6732972594144915 33.59298336937002, -7.6732972594144915 33.59298636251699, -7.673293666153355 33.59298636251699, -7.673293666153355 33.59298935566385, -7.673290072892218 33.59298935566385, -7.673290072892218 33.592995341957256, -7.6733080391979 33.592995341957256, -7.6733080391979 33.59299833510381, -7.673311632459036 33.59299833510381))",4,route
